,id,account,total_appraised_value_2019,pct_value_change,latitude,longitude,acreage,zip_code,neighborhood_code,sq_ft,neighborhood,new_owner_date,Offense_Count,school_id,school_type,school_rating,flood_risk,sales_neighborhood_2019
33,33,50460000013,196566.0,9.999608275460696,29.754040000000003,-95.38348,0.0528,77019,8317.0,792.0,BAKER/OTHERS,2013-07-19,2310,101912058,Elementary,65,1,3
34,34,50460000014,289030.0,-0.9227963609189571,29.75405,-95.38338,0.0562,77019,8317.0,3298.0,BAKER/OTHERS,2015-04-23,2310,101912058,Elementary,65,1,3
35,53,90740000006,212960.0,10.0,29.755879999999998,-95.38032,0.0574,77019,8317.0,1209.0,BAKER/OTHERS,2001-04-10,2310,101912058,Elementary,65,1,3
36,54,90770000015,120861.0,-11.484378433009624,29.75668,-95.38122,0.0413,77019,8317.0,1802.0,BAKER/OTHERS,2014-04-13,2310,101912058,Elementary,65,1,3
37,59,90830000009,253332.0,9.999913157506231,29.75657,-95.38235,0.1228,77019,8317.0,1395.0,BAKER/OTHERS,2019-03-01,2310,101912058,Elementary,65,1,3
38,61,90860000001,177963.0,15.45767726113782,29.7568,-95.38323000000001,0.0781,77019,8317.0,744.0,BAKER/OTHERS,1988-01-02,2310,101912058,Elementary,65,1,3
39,62,90860000002,172735.0,15.569635497511106,29.756809999999998,-95.38342,0.0758,77019,8317.0,942.0,BAKER/OTHERS,2016-06-06,2310,101912058,Elementary,65,1,3
40,63,90860000003,202753.0,9.999945746822121,29.756809999999998,-95.38355,0.1148,77019,8317.0,684.0,BAKER/OTHERS,2004-04-15,2310,101912058,Elementary,65,1,3
41,64,90860000004,260600.0,15.391938504864084,29.756870000000003,-95.38367,0.1148,77019,8317.0,713.0,BAKER/OTHERS,2015-08-07,2310,101912058,Elementary,65,1,3
42,66,90860000014,155912.0,15.570841919558804,29.756829999999997,-95.38333,0.0633,77019,8317.0,942.0,BAKER/OTHERS,1997-05-14,2310,101912058,Elementary,65,1,3
43,67,90870000017,53214.0,-7.12116451984501,29.757070000000002,-95.38324,0.0234,77019,8317.0,756.0,BAKER/OTHERS,1988-01-02,2310,101912058,Elementary,65,1,3
44,68,90870000020,57554.0,-2.2852292020373515,29.75713,-95.38336,0.0252,77019,8317.0,654.0,BAKER/OTHERS,2013-09-10,2310,101912058,Elementary,65,1,3
45,751,302750000004,273309.0,9.999879257676193,29.7525,-95.38011999999999,0.1148,77019,8317.0,1054.0,BAKER/OTHERS,2016-11-14,2310,101912058,Elementary,65,1,3
46,752,302750000007,222900.0,21.141304347826086,29.75215,-95.38016,0.0861,77019,8317.0,832.0,BAKER/OTHERS,2002-10-24,2310,101912058,Elementary,65,1,3
47,18611,1336620010001,266200.0,10.0,29.75597,-95.37857,0.1053,77019,8317.0,1423.0,BAKER/OTHERS,2013-03-11,2310,101912058,Elementary,65,1,3
48,1268,513530000002,296731.0,15.16020615675986,29.75175,-95.37946,0.1288,77006,8317.0,1702.0,BAKER/OTHERS,2007-08-31,3669,101912058,Elementary,65,1,3
49,12,50110000007,262487.0,16.660888888888888,29.7547,-95.37838,0.1148,77019,8317.0,1120.0,BAKER/OTHERS,2018-08-16,2310,101912058,Middle,65,1,3
50,16,50130000009,245100.0,8.88494002665482,29.755329999999997,-95.37895999999999,0.1148,77019,8317.0,1052.0,BAKER/OTHERS,2015-03-13,2310,101912058,Middle,65,1,3
51,18,50140000008,262020.0,15.57190493833695,29.7547,-95.3791,0.1148,77019,8317.0,1636.0,BAKER/OTHERS,1988-02-26,2310,101912058,Middle,65,1,3
52,20,50220000004,209871.0,9.999895173801837,29.75495,-95.38103000000001,0.1148,77019,8317.0,1188.0,BAKER/OTHERS,2003-07-18,2310,101912058,Middle,65,1,3
53,21,50220000007,202420.0,-10.035555555555556,29.75468,-95.38103000000001,0.1148,77019,8317.0,1276.0,BAKER/OTHERS,1988-01-02,2310,101912058,Middle,65,1,3
54,22,50240000010,83954.0,9.99973795235974,29.753729999999997,-95.381,0.0878,77019,8317.0,1754.0,BAKER/OTHERS,2003-05-04,2310,101912058,Middle,65,1,3
55,30,50440000001,35918.0,9.99908124827734,29.7555,-95.38322,0.0367,77019,8317.0,1668.0,BAKER/OTHERS,1997-03-22,2310,101912058,Middle,65,1,3
56,31,50440000013,111111.0,10.0,29.75558,-95.38334,0.0918,77019,8317.0,813.0,BAKER/OTHERS,1995-01-05,2310,101912058,Middle,65,1,3
57,32,50460000007,155442.0,15.552218612707309,29.754,-95.38322,0.0671,77019,8317.0,870.0,BAKER/OTHERS,2017-11-07,2310,101912058,Middle,65,1,3
58,33,50460000013,196566.0,9.999608275460696,29.754040000000003,-95.38348,0.0528,77019,8317.0,792.0,BAKER/OTHERS,2013-07-19,2310,101912058,Middle,65,1,3
59,34,50460000014,289030.0,-0.9227963609189571,29.75405,-95.38338,0.0562,77019,8317.0,3298.0,BAKER/OTHERS,2015-04-23,2310,101912058,Middle,65,1,3
60,53,90740000006,212960.0,10.0,29.755879999999998,-95.38032,0.0574,77019,8317.0,1209.0,BAKER/OTHERS,2001-04-10,2310,101912058,Middle,65,1,3
61,54,90770000015,120861.0,-11.484378433009624,29.75668,-95.38122,0.0413,77019,8317.0,1802.0,BAKER/OTHERS,2014-04-13,2310,101912058,Middle,65,1,3
62,59,90830000009,253332.0,9.999913157506231,29.75657,-95.38235,0.1228,77019,8317.0,1395.0,BAKER/OTHERS,2019-03-01,2310,101912058,Middle,65,1,3
63,61,90860000001,177963.0,15.45767726113782,29.7568,-95.38323000000001,0.0781,77019,8317.0,744.0,BAKER/OTHERS,1988-01-02,2310,101912058,Middle,65,1,3
64,62,90860000002,172735.0,15.569635497511106,29.756809999999998,-95.38342,0.0758,77019,8317.0,942.0,BAKER/OTHERS,2016-06-06,2310,101912058,Middle,65,1,3
65,63,90860000003,202753.0,9.999945746822121,29.756809999999998,-95.38355,0.1148,77019,8317.0,684.0,BAKER/OTHERS,2004-04-15,2310,101912058,Middle,65,1,3
66,64,90860000004,260600.0,15.391938504864084,29.756870000000003,-95.38367,0.1148,77019,8317.0,713.0,BAKER/OTHERS,2015-08-07,2310,101912058,Middle,65,1,3
67,66,90860000014,155912.0,15.570841919558804,29.756829999999997,-95.38333,0.0633,77019,8317.0,942.0,BAKER/OTHERS,1997-05-14,2310,101912058,Middle,65,1,3
68,67,90870000017,53214.0,-7.12116451984501,29.757070000000002,-95.38324,0.0234,77019,8317.0,756.0,BAKER/OTHERS,1988-01-02,2310,101912058,Middle,65,1,3
69,68,90870000020,57554.0,-2.2852292020373515,29.75713,-95.38336,0.0252,77019,8317.0,654.0,BAKER/OTHERS,2013-09-10,2310,101912058,Middle,65,1,3
70,751,302750000004,273309.0,9.999879257676193,29.7525,-95.38011999999999,0.1148,77019,8317.0,1054.0,BAKER/OTHERS,2016-11-14,2310,101912058,Middle,65,1,3
71,752,302750000007,222900.0,21.141304347826086,29.75215,-95.38016,0.0861,77019,8317.0,832.0,BAKER/OTHERS,2002-10-24,2310,101912058,Middle,65,1,3
